id,submission_time,view_number,vote_number,title,message,image
1,1493368154,29,7,"How to make lists in Python?","I am totally new to this, any hints?",
2,1493068124,15,9,"Wordpress loading multiple jQuery Versions","I developed a plugin that uses the jquery booklet plugin (http://builtbywill.com/booklet/#/) this plugin binds a function to $ so I cann call $('.myBook').booklet();

I could easy managing the loading order with wp_enqueue_script so first I load jquery then I load booklet so everything is fine.

BUT in my theme i also using jquery via webpack so the loading order is now following:

jquery
booklet
app.js (bundled file with webpack, including jquery)","images/image1.png"
3,1493015432,1364,57,"Drawing canvas with an image picked with Cordova Camera Plugin","I'm getting an image from device and drawing a canvas with filters using Pixi JS. It works all well using computer to get an image. But when I'm on IOS, it throws errors such as cross origin issue, or that I'm trying to use an unknown format.

This is the code I'm using to draw the image (that works on web/desktop but not cordova built ios app)",




4,1655970429,0,0,I have a question,nbjknhkjnb,
5,1655972448,0,0,I have a question about python dictionaries,"Hello, I would like to know how disctionaries work, could someone help me?",
6,1655976139,0,0,sadasasasa3t,ggggssgd,
7,1655976456,0,0,d,d,
